source_id,path,sheet,field,level,join_key_present,time_key_present,target_meter_overlap,matched_value_count,sample_values,usable,reason
SRC-0001,lightguard_app/assets/data/ami_event_windows/B-L-13_2026-06-23.csv,,i1,S2_PROXY_INPUT,True,True,B-L-13,0,,False,measurement input only; not a fault or operational truth label
SRC-0001,lightguard_app/assets/data/ami_event_windows/B-L-13_2026-06-23.csv,,i2,S2_PROXY_INPUT,True,True,B-L-13,0,,False,measurement input only; not a fault or operational truth label
SRC-0001,lightguard_app/assets/data/ami_event_windows/B-L-13_2026-06-23.csv,,i3,S2_PROXY_INPUT,True,True,B-L-13,0,,False,measurement input only; not a fault or operational truth label
SRC-0001,lightguard_app/assets/data/ami_event_windows/B-L-13_2026-06-23.csv,,active_energy_kwh,S2_PROXY_INPUT,True,True,B-L-13,0,,False,measurement input only; not a fault or operational truth label
SRC-0002,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-19.csv,,i1,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0002,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-19.csv,,i2,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0002,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-19.csv,,i3,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0002,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-19.csv,,active_energy_kwh,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0003,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-29.csv,,i1,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0003,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-29.csv,,i2,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0003,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-29.csv,,i3,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0003,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-29.csv,,active_energy_kwh,S2_PROXY_INPUT,True,True,B-L-14,0,,False,measurement input only; not a fault or operational truth label
SRC-0004,lightguard_app/assets/data/ami_event_windows/B-L-35_2026-05-11.csv,,i1,S2_PROXY_INPUT,True,True,B-L-35,0,,False,measurement input only; not a fault or operational truth label
SRC-0004,lightguard_app/assets/data/ami_event_windows/B-L-35_2026-05-11.csv,,i2,S2_PROXY_INPUT,True,True,B-L-35,0,,False,measurement input only; not a fault or operational truth label
SRC-0004,lightguard_app/assets/data/ami_event_windows/B-L-35_2026-05-11.csv,,i3,S2_PROXY_INPUT,True,True,B-L-35,0,,False,measurement input only; not a fault or operational truth label
SRC-0004,lightguard_app/assets/data/ami_event_windows/B-L-35_2026-05-11.csv,,active_energy_kwh,S2_PROXY_INPUT,True,True,B-L-35,0,,False,measurement input only; not a fault or operational truth label
SRC-0005,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-20.csv,,i1,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
SRC-0005,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-20.csv,,i2,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
SRC-0005,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-20.csv,,i3,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
SRC-0005,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-20.csv,,active_energy_kwh,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
SRC-0006,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-21.csv,,i1,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
SRC-0006,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-21.csv,,i2,S2_PROXY_INPUT,True,True,B-L-9,0,,False,measurement input only; not a fault or operational truth label
