record_type,id,query_or_source,status,quality,directness,verification_or_reason,url
query,Q01,"smart meter load profile anomaly technical fault",executed,,,,"Publisher, IEEE, and DOI metadata screened",
query,Q02,"AMI anomaly detection utility operations",executed,,,,"Publisher, IEEE, and DOI metadata screened",
query,Q03,"electrical load profile abnormal consumption",executed,,,,"Publisher and DOI metadata screened",
query,Q04,"meter-specific time-of-day baseline anomaly",executed,,,,"Benchmark and AMI sources screened",
query,Q05,"persistent load deviation EWMA CUSUM anomaly",executed,,,,"NIST control and TSAD sources screened",
query,Q06,"streetlight daytime operation current sensor ambient light",executed,,,,"Road-lighting AMI and optical-monitoring sources screened",
query,Q07,"streetlight expected state current mismatch fault monitoring",executed,,,,"Road-lighting AMI and topology sources screened",
query,Q08,"three phase current imbalance negative sequence diagnostics",executed,,,,"No directly transferable public-light negative-sequence validation found; evidence gap retained",
query,Q09,"phase current asymmetry anomaly fault diagnosis",executed,,,,"Per-phase road-light literature included; individual-lamp causal evidence not found",
query,Q10,"time series anomaly benchmark leakage point adjustment",executed,,,,"Primary benchmark papers and manuscripts screened",
query,Q11,"blinded assessment anchoring bias inter-rater agreement",executed,,,,"No source added because v12R review protocol governs packet procedure",
source,S1,"Calamaro; Beck; Ben Melech; Shmilovitz (2021), An Energy-Fraud Detection-System Capable of Distinguishing Frauds from Other Energy Flow Anomalies in an Urban Environment",included,A,L2,"Primary full text; local tagged data, 200-meter field-tested set, and alternative-root separation recoverable. Fraud accuracy not transferred.",https://doi.org/10.3390/su131910696
source,S2,"Si et al. (2024), TimeSeriesBench: An Industrial-Grade Benchmark for Time Series Anomaly Detection Models",included,A,L1,"Primary manuscript plus DOI metadata; all-in-one/zero-shot/event/latency design recoverable. Service labels do not validate lighting faults.",https://doi.org/10.1109/ISSRE62328.2024.00017
source,S3,"Wu; Keogh (2020/2023), Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress",included,A,L1,"Primary manuscript and journal DOI verified; benchmark-label/leakage warning recoverable.",https://doi.org/10.1109/TKDE.2021.3112126
source,S4,"Croarkin (2003), NIST/SEMATECH Engineering Statistics Handbook Chapter 2: Measurement Process Characterization",included,A,L1,"Government primary technical publication; bias, repeatability, reproducibility, stability, calibration, and uncertainty framework.",https://www.nist.gov/publications/nistsematech-engineering-statistics-handbook-chapter-2-measurement-process
source,S5,"Śmiałkowski; Czyżewski (2022), Detection of Anomalies in the Operation of a Road Lighting System Based on Data from Smart Electricity Meters",included,A,L3,"Primary full text; 4200 lamps, 80 three-phase meters, 60-second records, SARIMA/LSTM, and alternative anomalies recoverable.",https://doi.org/10.3390/en15249438
source,S6,"Śmiałkowski et al. (2025), Anomaly detection in urban lighting systems using autoencoder and transformer algorithms",included,A,L3,"Primary full text; rolling baseline, thresholds, per-phase cabinet power, and single-anomaly limitation recoverable.",https://doi.org/10.1038/s41598-025-19414-8
source,S7,"Buzau; Tejedor-Aguilera; Cruz-Romero; Gómez-Expósito (2019), Detection of Non-Technical Losses Using Smart Meter Data and Supervised Learning",included,A,L2,"Peer-reviewed primary metadata/abstract; approximately 57000 field inspections provide external labels. Theft outcome not transferred.",https://doi.org/10.1109/TSG.2018.2807925
source,S8,"Jokar; Arianpoo; Leung (2016), Electricity Theft Detection in AMI Using Customers' Consumption Patterns",included,A,L2,"Peer-reviewed primary metadata/abstract; customer-relative predictability and transformer shortlisting recoverable. No lighting-fault label transfer.",https://doi.org/10.1109/TSG.2015.2425222
source,S9,"Singh; Gill (2018), Entropy-based electricity theft detection in AMI network",included,A,L2,"Peer-reviewed primary abstract; historical threshold and seasonal/behavioral false-positive warning recoverable.",https://doi.org/10.1049/iet-cps.2017.0063
source,S10,"Ayaz; Erhan; Kundakci; Ertunc (2017), Automation System Design for Fault Detection in Street Lighting",included,B,L3,"Authoritative journal record; transformer-line currents, known column counts, and group-level localization assumptions recoverable; no DOI/field accuracy claim.",https://dergipark.org.tr/en/pub/epstem/article/364353
source,S11,"Lee; Huang (2015), A Low-Cost and Noninvasive System for the Measurement and Detection of Faulty Streetlights",included,A,L3,"Peer-reviewed primary full text; vehicle light-meter/GPS illumination mapping provides independent confirmation modality.",https://doi.org/10.1109/TIM.2014.2361551
source,X1,"Dutta; Parvin; Saha; Chakraborty (2026), Electrical Current Signature-Based Machine Learning Models for Streetlight Fault Prediction",excluded,C,L3,"Excluded: simulated current-signature features were added because high-resolution current data were absent.",https://doi.org/10.31449/inf.v50i2.8972
source,X2,"Kumar et al. (2025), Predictive Analysis of Street Light Operations",excluded,C,L3,"Excluded: abstract reports classifiers but dataset provenance, field-label protocol, and leakage controls are insufficient.",https://doi.org/10.48047/IJCNIS.17.3.391-402
source,X3,"Emadaleslami; Haghifam; Zangiabadi (2023), A two stage approach to electricity theft detection in AMI using deep learning",excluded,B,L2,"Excluded: synthetic malicious-data generation is central, full method access unavailable, and theft outcome differs.",https://www.sciencedirect.com/science/article/abs/pii/S014206152300145X
source,X4,"Kabir et al. (2022), Detecting Nontechnical Losses in Smart Meters Using a MLP-GRU Deep Model and Augmenting Data via Theft Attacks",excluded,B,L2,"Excluded: attack augmentation and unavailable field-outcome provenance make it unsuitable as no-Gold-label support.",https://doi.org/10.3390/su142215001
source,X5,"Generic IoT streetlight prototype papers",excluded,C,L0,"Excluded: no recoverable target labels, field validation, or leakage-safe evaluation.",
